animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
aardwolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
alpaca,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
baboon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
capybara,1,0,0,1,0,1,0,1,1,1,0,0,4,1,1,1,1
dhole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
elephant_seal,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,1,1
fossa,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
gazelle,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hedgehog,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
iguana,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
jaguarundi,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
manatee,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
nighthawk,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pangolin,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
quokka,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
ratel,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
salamander,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
tarsier,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
umbrellabird,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
xerus,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
yak,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
chimpanzee,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
giant_panda,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
red_panda,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hippopotamus,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
spotted_skunk,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
african_elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
giant_armadillo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
common_porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dugong,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
common_seal,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
sea_otter,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
walrus,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
sea_lion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
killer_whale,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
blue_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
humpback_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
gray_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
sperm_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
bowhead_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
right_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
bison,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
guinea_pig,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
desert_hedgehog,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
european_hedgehog,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hindu_porcupine,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
asian_elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
african_elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
indian_elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
indian_rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
javan_rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
sumatran_rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
black_rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
white_rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
indian_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
siberian_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bengal_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
malayan_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
indochinese_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
south_china_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
sunda_island_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
malayan_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
javan_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bali_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
caspiantiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
balinese_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
java_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bengal_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
siberian_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
south_china_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
indochinese_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
malayan_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bali_tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
caspiantiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
giraffe_snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
elephant_bee,1,0,1,0,1,0,0,0,1,1,1,0,6,0,0,0,6
lion_fish,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,4
panda_eagle,1,1,0,1,1,0,1,1,1,1,0,0,2,1,0,0,1
gorilla_falcon,1,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
tiger_dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
jaguar_octopus,1,0,1,0,0,1,1,1,1,1,0,1,8,1,0,0,7
sloth_frog,1,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
hedgehog_bat,1,1,0,1,1,0,1,1,1,1,0,0,2,1,1,0,1
cheetah_lizard,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
koala_hawk,1,1,0,1,1,0,1,1,1,1,0,0,2,1,0,0,2
kangaroo_grouse,1,1,1,0,1,0,1,1,1,1,0,0,2,1,0,1,2
parrot_penguin,0,1,1,0,1,1,1,1,1,1,0,0,2,1,0,0,2
tarantula_gazelle,0,0,1,0,0,0,1,1,1,1,1,0,6,0,0,0,3
iguana_moose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
dromedary_jaguar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
dromedary_cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,1,1
elephant_seal,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
tiger_shark,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
penguin,0,1,1,0,0,1,1,1,1,1,0,0,2,1,0,0,2
sloth,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
owl,0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,2
platypus,1,1,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1
hedgehog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
parrot,0,1,1,0,1,0,0,1,1,1,0,0,2,1,0,0,2
tarantula,0,0,1,0,0,0,1,1,1,1,1,0,8,0,0,0,7
iguana,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
elephant_seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
tiger_shark,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
penguin,0,1,1,0,0,1,1,1,1,1,0,0,2,1,0,0,2
sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
owl,0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,2
platypus,1,1,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1
hedgehog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
parrot,0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,2
tarantula,0,0,1,0,0,0,1,1,1,1,1,0,8,1,0,0,7
iguana,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
dromedary,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
gazelle,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hippopotamus,1,0,0,1,0,1,1,1,1,1,0,0,4,1,1,1,1
rhinoceros,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
crocodile,1,0,1,0,0,1,1,1,1,1,0,1,4,1,0,1,3
alligator,1,0,1,0,0,1,1,1,1,1,0,1,4,1,0,1,3
snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
lizard,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
toad,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
salamander,1,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
crab,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7
lobster,0,0,1,0,0,1,1,1,1,1,0,0,8,0,0,0,7
shrimp,0,0,1,0,0,1,1,1,1,1,0,0,6,0,0,0,7
octopus,0,0,1,0,0,1,1,1,1,1,0,0,8,0,0,0,7
elephant_seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
tiger_shark,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,4
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
penguin,0,1,1,0,0,1,1,1,1,1,0,0,2,1,0,0,2
sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
owl,0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,2
platypus,1,1,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1
hedgehog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
lemur,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
parrot,0,1,1,0,1,0,1,1,1,1,0,0,2,1,0,0,2
tarantula,0,0,1,0,0,0,1,1,1,1,1,0,8,1,0,0,7
iguana,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
dromedary,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
gazelle,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hippopotamus,1,0,0,1,0,1,1,1,1,1,0,0,4,1,1,1,1
rhinoceros,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
crocodile,1,0,1,0,0,1,1,1,1,1,0,1,4,1,0,1,3
alligator,1,0,1,0,0,1,1,1,1,1,0,1,4,1,0,1,3
snake,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
lizard,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
toad,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
salamander,1,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
elephant,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
fox,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
horse,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
cow,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
sheep,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
pig,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
dog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
cat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
rabbit,1,0,1,0,0,0,0,1,1,1,0,0,4,1,1,1,1
hamster,1,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,1
guinea pig,1,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,1
mouse,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,0,1
rat,1,0,1,0,0,0,1,1,1,1,0,0,4,1,1,0,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
chipmunk,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hedgehog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
bat,1,0,1,0,1,0,1,1,1,1,0,0,2,1,1,0,1
orangutan,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
kangaroo_rat,1,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,1
peacock,0,1,1,0,1,0,0,0,1,1,0,0,2,0,0,0,2
chameleon,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,3
hippopotamus,1,0,0,1,0,1,1,1,1,1,0,0,4,0,0,1,1
polar_bear,1,0,0,1,0,1,1,1,1,1,0,0,4,0,0,1,1
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
chimpanzee,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1,1
red_panda,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,1
armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
wombat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
lemming,1,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
echidna,1,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0,1
sugar_glider,1,0,1,0,1,0,1,1,1,1,0,0,2,1,0,0,1
otter,1,0,0,1,0,1,1,1,1,1,0,0,4,0,0,1,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
manatee,1,0,0,1,0,1,0,1,1,1,0,0,4,0,0,1,1
platypus,1,1,1,1,0,1,0,1,1,1,0,1,2,1,0,0,1
quokka,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
wildebeest,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bison,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
honey_badger,1,0,1,0,0,0,1,1,1,1,0,0,4,0,0,1,1
okapi,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
kiwi_bird,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
blue_whale,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
narwhal,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
gazelle,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bald_eagle,0,1,1,0,1,1,1,1,1,1,0,0,2,0,0,0,2
Sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,1,1
Mongoose,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
Serval,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
Pangolin,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Capybara,1,0,1,0,0,1,0,1,1,1,0,0,4,1,1,1,1
Tapir,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Meerkat,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Gazelle,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
Alpaca,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
Armadillo,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Llama,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
Binturong,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Kinkajou,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Fennec_Fox,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Maned_Wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
Aardwolf,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1
Red_Panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Fossa,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Tamarin,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Bonobo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0,1
Marmoset,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
Gibbon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
Raccoon,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,1,1
Coati,1,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,1
