animal_name,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,air_breather,water_breather,venomous,fins,tail,legs
deer,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
desert_hedgehog,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
dhole,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
dingo,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
dog,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
dogfish,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
dolphin,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
dove,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
dromedary,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
dromedary_cavy,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
dromedary_jaguar,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
duck,2,False,True,True,False,True,True,False,False,True,True,False,False,False,True,2
dugong,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
echidna,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,2
elephant,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
elephant_bee,6,True,False,True,False,True,False,False,False,True,True,False,True,False,False,6
elephant_seal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,4
emu,2,False,True,True,False,True,False,False,False,True,True,False,False,False,False,2
european_hedgehog,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
fennec_fox,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
ferret,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
flamingo,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
flea,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6
fossa,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
fox,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
frog,5,False,False,True,False,False,True,True,True,True,True,True,False,False,False,4
fruitbat,1,True,False,False,True,True,False,False,True,True,True,False,False,False,True,2
galago,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
gaur,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
gazelle,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
giant_armadillo,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
giant_panda,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
gibbon,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
giraffe,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
giraffe_snake,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
gnat,6,False,False,True,False,True,False,False,False,False,True,False,False,False,False,6
goat,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
gorilla,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
gorilla_falcon,2,True,True,True,False,True,False,True,False,True,True,False,False,False,True,2
gray_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
guanaco,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
guinea pig,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
guinea_pig,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
gull,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
haddock,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
hamster,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
hare,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
hawk,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
hedgehog,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
hedgehog_bat,1,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
herring,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
hindu_porcupine,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
hippopotamus,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
honey_badger,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
honeybee,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,6
horse,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
housefly,6,True,False,True,False,True,False,False,False,False,True,False,False,False,False,6
human,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,2
humpback_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
hyena,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
hyrax,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
ibex,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
iguana,3,False,False,True,False,False,True,True,True,True,True,False,False,False,True,4
iguana_moose,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
indian_elephant,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
indian_rhinoceros,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
indian_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
indochinese_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
jaguar_octopus,7,True,False,True,False,False,True,True,True,True,True,False,False,True,True,8
jaguarundi,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
java_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
javan_rhinoceros,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
javan_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
kangaroo,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
kangaroo_grouse,2,True,True,True,False,True,False,True,True,True,True,False,False,False,True,2
kangaroo_rat,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,2
killer_whale,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
kinkajou,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
kiwi,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
kiwi_bird,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
koala,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
koala_hawk,2,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
ladybird,6,False,False,True,False,True,False,True,False,False,True,False,False,False,False,6
lark,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
lemming,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
lemur,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
leopard,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
lion,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
lion_fish,4,False,False,True,False,False,True,True,True,True,True,True,True,True,True,0
lizard,3,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
llama,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
lobster,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6
lynx,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
malayan_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
manatee,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
maned_wolf,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
marmoset,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
marmot,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,4
marten,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
meerkat,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
mink,1,True,False,False,True,False,True,True,True,True,True,False,False,False,True,4
mole,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
mongoose,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
moth,6,True,False,True,False,True,False,False,False,False,True,False,False,False,False,6
mouse,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
narwhal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
newt,5,False,False,True,False,False,True,True,True,True,True,True,False,False,True,4
nighthawk,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
numbat,1,True,False,True,False,False,False,True,True,True,True,False,False,False,False,4
ocelot,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
octopus,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,8
okapi,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
opossum,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
orangutan,1,True,False,False,True,False,False,False,True,True,True,False,False,False,False,2
oryx,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
ostrich,2,False,True,True,False,False,False,False,False,True,True,False,False,False,True,2
otter,1,True,False,False,True,False,True,True,True,True,True,False,False,False,False,4
owl,2,False,True,True,False,True,False,True,True,True,True,False,False,False,True,2
panda_eagle,1,True,True,False,True,True,False,True,True,True,True,False,False,False,True,2
pangolin,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
parakeet,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
parrot,2,False,True,True,False,True,False,False,True,True,True,False,False,False,True,2
parrot_penguin,2,False,True,True,False,True,True,True,True,True,True,False,False,False,True,2
peacock,2,False,True,True,False,True,False,False,False,True,True,False,False,False,False,2
peccary,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
penguin,2,False,True,True,False,False,True,True,False,True,True,False,False,False,True,2
pheasant,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
pig,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
pika,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,2
pike,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
piranha,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
pitviper,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
platypus,1,True,False,True,True,False,True,True,False,True,True,False,False,False,True,4
polar_bear,1,True,False,False,True,False,True,True,True,True,True,False,False,False,False,4
polecat,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
pony,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
porcupine,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
porpoise,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
potoroo,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
puma,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
pussycat,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
quokka,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
quoll,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
rabbit,1,True,False,True,False,False,False,False,True,True,True,False,False,False,True,4
raccoon,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
rat,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
ratel,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
red_panda,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
reindeer,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
rhea,2,False,True,True,False,False,False,True,False,True,True,False,False,False,True,2
rhinoceros,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
right_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
ring-tailed_lemur,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
salamander,5,False,False,True,False,False,True,True,True,True,True,True,False,False,True,4
scorpion,7,False,False,False,False,False,False,True,False,False,True,False,True,False,True,8
sea_lion,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,2
sea_otter,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
seahorse,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
seal,1,True,False,False,True,False,True,True,True,True,True,False,False,True,False,0
sealion,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,2
seasnake,3,False,False,False,False,False,True,True,True,True,False,False,True,False,True,0
seawasp,7,False,False,True,False,False,True,True,False,False,False,False,True,False,False,0
serval,1,True,False,False,True,False,False,True,True,True,True,False,False,False,False,4
sheep,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
shrimp,7,False,False,True,False,False,True,True,True,True,True,False,False,False,False,6
siberian_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
skimmer,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
skua,2,False,True,True,False,True,True,True,False,True,True,False,False,False,True,2
sloth,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
sloth_frog,5,True,False,True,False,False,True,True,True,True,True,True,False,False,True,4
slowworm,3,False,False,True,False,False,False,True,True,True,True,False,False,False,True,0
slug,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
snake,3,False,False,True,False,False,False,True,True,True,True,False,True,False,True,0
sole,4,False,False,True,False,False,True,False,True,True,False,True,False,True,True,0
south_china_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
sparrow,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
sperm_whale,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
spotted_skunk,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
squirrel,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
squirrel_monkey,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
starfish,7,False,False,True,False,False,True,True,False,False,False,False,False,False,False,5
stingray,4,False,False,True,False,False,True,True,True,True,False,True,True,True,True,0
stoat,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
sugar_glider,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,2
sumatran_rhinoceros,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
sunda_island_tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
swan,2,False,True,True,False,True,True,False,False,True,True,False,False,False,True,2
takin,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
tamandua,1,True,False,True,False,False,False,True,True,True,True,False,False,False,True,4
tamarin,1,True,False,True,False,True,False,True,True,True,True,False,False,False,True,4
tapir,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
tarantula,7,False,False,True,False,False,False,True,True,True,True,False,True,False,False,8
tarantula_gazelle,3,False,False,True,False,False,False,True,True,True,True,False,True,False,False,6
tarsier,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
tasmanian_devil,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
termite,6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,6
tiger,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
tiger_dolphin,1,False,False,False,True,False,True,True,True,True,True,False,False,True,True,0
tiger_shark,4,True,False,True,False,False,True,True,True,True,True,True,False,True,True,0
toad,5,False,False,True,False,False,True,False,True,True,True,True,False,False,False,4
tortoise,3,False,False,True,False,False,False,False,False,True,True,False,False,False,True,4
tuatara,3,False,False,True,False,False,False,True,True,True,True,False,False,False,True,4
tuna,4,False,False,True,False,False,True,True,True,True,False,True,False,True,True,0
umbrellabird,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
vicuña,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
vole,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
vulture,2,False,True,True,False,True,False,True,False,True,True,False,False,False,True,2
wallaby,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
wallaroo,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,2
walrus,1,True,False,False,True,False,True,True,True,True,True,False,False,True,True,0
wasp,6,True,False,True,False,True,False,False,False,False,True,False,True,False,False,6
weasel,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
white_rhinoceros,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
wildebeest,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
wolf,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
wolverine,1,True,False,False,True,False,False,True,True,True,True,False,False,False,True,4
wombat,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
worm,7,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0
wren,2,False,True,True,False,True,False,False,False,True,True,False,False,False,True,2
xerus,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
yak,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
zebra,1,True,False,False,True,False,False,False,True,True,True,False,False,False,True,4
